GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account,com.warba.banking.account.infra.util,AccountNumberGenerator,8,37,1,1,2,8,2,1,1,1
account,com.warba.banking.account.infra.exception,SalaryAccountExistsException,0,4,0,0,0,2,0,1,0,1
account,com.warba.banking.account.infra.exception,AccountCreationFailedException,0,4,0,0,0,2,0,1,0,1
account,com.warba.banking.account.infra.exception,MaxNoOfAccountsException,0,4,0,0,0,2,0,1,0,1
account,com.warba.banking.account.infra.exception,GlobalExceptionHandler,56,51,0,0,10,10,5,4,5,4
account,com.warba.banking.account.infra.exception,MinAccountBalanceException,0,4,0,0,0,2,0,1,0,1
account,com.warba.banking.account.infra.exception,BusinessLogicException,0,4,0,0,0,2,0,1,0,1
account,com.warba.banking.account.config,RabbitMQConfig,0,46,0,0,0,10,0,5,0,5
account,com.warba.banking.account.model.response,AccountResponse,0,24,0,0,0,1,0,1,0,1
account,com.warba.banking.account.model.mapper,AccountMapper,0,3,0,0,0,1,0,1,0,1
account,com.warba.banking.account.model.mapper,AccountMapperImpl,70,3,4,0,24,1,4,1,2,1
account,com.warba.banking.account.service,AccountService,2,278,3,19,0,53,3,15,0,7
account,com.warba.banking.account.producer,RabbitMQProducer,7,0,0,0,2,0,1,0,1,0
account,com.warba.banking.account.model.enums,AccountStatus,0,21,0,0,0,4,0,1,0,1
account,com.warba.banking.account.model.enums,AccountType,0,21,0,0,0,4,0,1,0,1
account,com.warba.banking.account.controller,AccountController,0,49,0,0,0,10,0,5,0,5
account,com.warba.banking.account,AccountApplication,5,3,0,0,2,1,1,1,1,1
account,com.warba.banking.account.model.request,UpdateAccountStatusRequest,0,6,0,0,0,1,0,1,0,1
account,com.warba.banking.account.model.request,CreateAccountRequest,0,9,0,0,0,1,0,1,0,1
