GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customer,com.warba.banking.customer.service,CustomerService,29,309,5,15,0,57,9,17,4,11
customer,com.warba.banking.customer.service,AccountManagementService,12,85,0,2,0,19,2,6,2,5
customer,com.warba.banking.customer.model.enums,CustomerType,0,21,0,0,0,4,0,1,0,1
customer,com.warba.banking.customer.listener,AccountEventListener,8,0,0,0,2,0,1,0,1,0
customer,com.warba.banking.customer.infra.exception,RetryLimitExceededException,4,0,0,0,2,0,1,0,1,0
customer,com.warba.banking.customer.infra.exception,DuplicateResourceException,0,4,0,0,0,2,0,1,0,1
customer,com.warba.banking.customer.infra.exception,GlobalExceptionHandler,89,7,0,0,16,2,6,2,6,2
customer,com.warba.banking.customer.config,ConsumerRabbitMQConfig,0,36,0,0,0,9,0,3,0,3
customer,com.warba.banking.customer,CustomerApplication,5,3,0,0,2,1,1,1,1,1
customer,com.warba.banking.customer.model.response,CustomerResponse,0,33,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.mapper,AddressMapper,0,3,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.mapper,AddressMapperImpl,2,31,1,1,1,9,1,2,0,2
customer,com.warba.banking.customer.model.mapper,CustomerMapperImpl,6,115,3,3,3,38,3,4,0,4
customer,com.warba.banking.customer.model.mapper,CustomerMapper,0,3,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.request,UpdateAddressRequest,0,18,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.request,UpdateCustomerRequest,0,9,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.request,CreateAddressRequest,0,18,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.model.request,CreateCustomerRequest,0,18,0,0,0,1,0,1,0,1
customer,com.warba.banking.customer.controller,CustomerController,4,60,1,3,1,14,1,7,0,6
customer,com.warba.banking.customer.controller,AccountManagementController,0,25,0,0,0,6,0,3,0,3
customer,com.warba.banking.customer.infra.util,SevenDigitIdGenerator,47,3,6,0,12,1,5,1,2,1
